start-time             |end-time               |dur     |rtt     |pro|sip                                     |sp   |pkt     |oct     |at|srcMacAddr       |dip                                     |dp   |rpkt    |roct    |ra|destMacAddr      |iflags  |uflags  |riflags |ruflags |isn     |risn    |in   |out  |tag|app  |tos|end   |collector
2019-05-30 14:43:56.156|2019-05-30 14:43:56.248|   0.092|   0.092| 17|                               10.23.4.2|61888|       1|      66|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     225|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 14:43:58.794|2019-05-30 14:43:58.807|   0.013|   0.013| 17|                               10.23.4.2|63349|       1|      60|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     189|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 14:45:18.494|2019-05-30 14:45:18.509|   0.015|   0.015| 17|                               10.23.4.2|60677|       1|      76|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     250|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 14:48:26.256|2019-05-30 14:48:26.267|   0.011|   0.011| 17|                               10.23.4.2|59233|       1|      64|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|      96|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 15:03:12.276|2019-05-30 15:04:18.242|  65.966|   0.015|  6|                               10.23.4.2|49485|      26|    3535|00|00:00:00:00:00:00|                           17.248.146.86|  443|      29|   25250|00|00:00:00:00:00:00|       S|     APF|      AS|    APRF|76b0de47|6224b166|    0|    0|000|    0| 00|      |C1
2019-05-30 15:04:18.243|2019-05-30 15:04:18.243|   0.000|   0.000|  6|                           17.248.146.86|  443|       1|      40|00|00:00:00:00:00:00|                               10.23.4.2|49485|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|62250e0b|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 15:00:27.537|2019-05-30 15:03:17.043| 169.506|   0.378|  6|                            17.252.92.89| 5223|       8|    1011|00|00:00:00:00:00:00|                               10.23.4.2|49568|      11|     828|00|00:00:00:00:00:00|      AP|      AP|      AP|      AP|283b3ffa|eb5b5061|    0|    0|000|    0| 00|  idle|C1
2019-05-30 15:02:18.305|2019-05-30 15:02:18.313|   0.008|   0.008| 17|                               10.23.4.2|50337|       1|      64|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     145|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 15:02:18.317|2019-05-30 15:02:18.326|   0.009|   0.009| 17|                               10.23.4.2|  123|       1|      76|00|00:00:00:00:00:00|                           17.253.54.125|  123|       1|      76|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 15:02:18.330|2019-05-30 15:02:18.341|   0.011|   0.011| 17|                               10.23.4.2|  123|       1|      76|00|00:00:00:00:00:00|                          17.253.108.253|  123|       1|      76|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 15:02:18.345|2019-05-30 15:02:18.353|   0.008|   0.008| 17|                               10.23.4.2|  123|       1|      76|00|00:00:00:00:00:00|                           17.253.54.253|  123|       1|      76|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 15:03:12.242|2019-05-30 15:03:12.256|   0.014|   0.014| 17|                               10.23.4.2|64176|       1|      78|00|00:00:00:00:00:00|                                 8.8.8.8|   53|       1|     206|00|00:00:00:00:00:00|       0|       0|       0|       0|00000000|00000000|    0|    0|000|    0| 00|  idle|C1
2019-05-30 15:11:36.717|2019-05-30 15:12:42.677|  65.960|   0.016|  6|                               10.23.4.2|49486|      26|    4064|00|00:00:00:00:00:00|                          17.248.146.149|  443|      31|   26113|00|00:00:00:00:00:00|       S|     APF|      AS|    APRF|8c3e3780|b678b9a9|    0|    0|000|    0| 00|      |C1
2019-05-30 15:12:42.677|2019-05-30 15:12:42.677|   0.000|   0.000|  6|                          17.248.146.149|  443|       1|      40|00|00:00:00:00:00:00|                               10.23.4.2|49486|       0|       0|00|00:00:00:00:00:00|       R|       0|       0|       0|b6791600|00000000|    0|    0|000|    0| 00|      |C1
2019-05-30 15:16:07.754|2019-05-30 15:16:09.141|   1.387|   0.016|  6|                               10.23.4.2|49587|      22|    3392|00|00:00:00:00:00:00|                          149.154.167.92|  443|      17|    2696|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|747afe55|2c00f439|    0|    0|000|    0| 00|      |C1
2019-05-30 15:16:07.754|2019-05-30 15:16:09.142|   1.388|   0.017|  6|                               10.23.4.2|49588|       6|     493|00|00:00:00:00:00:00|                          149.154.167.92|  443|       3|     269|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|ed9051c1|67fa55c2|    0|    0|000|    0| 00|      |C1
2019-05-30 15:16:16.374|2019-05-30 15:16:17.509|   1.135|   0.015|  6|                               10.23.4.2|49589|      15|    2604|00|00:00:00:00:00:00|                          149.154.167.92|  443|      10|    1229|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|01460b86|a8b4270c|    0|    0|000|    0| 00|      |C1
2019-05-30 15:16:16.375|2019-05-30 15:16:17.509|   1.134|   0.015|  6|                               10.23.4.2|49590|       6|     509|00|00:00:00:00:00:00|                          149.154.167.92|  443|       3|     253|00|00:00:00:00:00:00|       S|     APF|      AS|     APF|3a47b762|d36e69c6|    0|    0|000|    0| 00|      |C1
